breed,age,weight,chest,neck,back,leg,chest_pre,neck_pre,back_pre,leg_pre
믹스 소형견,24,5,38,31,36,16,41.15788685,25.88475328,33.99242674,18.38432341
믹스 소형견,24,4.9,42,25,36,20,40.93476974,25.84286114,33.64176001,17.99669593
믹스 소형견,24,15,60,40,50,23,59.24693576,37.45145636,48.80198919,26.23222987
믹스 소형견,24,4.5,42,25,36,18,39.55339122,24.63042445,32.90712757,17.72212289
믹스 소형견,24,15,65,40,54,20,58.73939028,37.48436924,48.99074554,26.71116607
믹스 소형견,24,4,40,22,29,18,38.28880863,23.9712405,31.38858744,16.85294864
믹스 소형견,24,3.3,35,22,40,22,35.49195966,22.37383918,29.65752891,16.43931023
믹스 소형견,24,4.6,43,30,35,14,39.62975575,25.00863197,33.59898161,17.89297742
믹스 소형견,24,4.5,38,22,30,15,39.68638356,24.66455026,33.41364665,17.24826818
믹스 소형견,24,8.6,53,33,60,20,48.67979218,30.77296306,40.83701791,22.04984543
믹스 소형견,24,11.6,59,37,43,22,54.15048816,34.23709816,45.54754137,24.60117633
믹스 소형견,24,14.2,56,36,57,22,57.2865507,36.52249785,48.21583864,25.83068978
믹스 소형견,24,4.6,37,24,36,22,39.60557173,25.54841188,33.34626202,17.82013463
믹스 소형견,24,4.3,33,23,36,27,38.84945529,24.33278835,32.90475907,17.14899496
믹스 소형견,24,9.5,45,30,40,35,50.08363614,32.20891163,41.74993376,22.36853367
믹스 소형견,24,3.8,43,25,33,17,37.39768927,23.86904881,30.90845834,16.89785144
믹스 소형견,24,11.5,55,34,45,19,54.12719561,34.41641909,45.14671582,24.19138934
믹스 소형견,24,12.7,58,43,50,35,55.3984958,34.95680169,46.23098871,24.57883977
믹스 소형견,24,6.2,42,32,30,21,43.65354541,27.63069927,37.08228159,19.80597981
믹스 소형견,24,5.7,45,25,33,17,42.97898656,26.63196969,35.5925004,19.61387621
보더콜리,24,14,60,36,50,30,56.4607277,35.81620194,43.9932395,25.80236207
비숑 프리제,24,5,43,26,34,18,40.59308718,25.42681188,35.02602621,18.13904005
비숑 프리제,24,5.6,40,30,37,18,42.66553159,25.98740628,36.86918153,18.92635387
비숑 프리제,24,4.2,43,23,40,15,37.86297117,23.51982182,33.73176718,17.1703336
비숑 프리제,24,5.4,45,26,34,20,41.51153332,26.26199764,36.17534731,18.77196702
비숑 프리제,24,5,39,22,42,14,40.47223566,25.54572959,35.8558366,18.15878015
비숑 프리제,24,4.8,39,27,35,26,39.81948118,25.29109329,35.08574422,17.86324644
비숑 프리제,24,3,35,23,30,13,33.76828429,21.77858229,30.14238722,15.63552245
비숑 프리제,24,4.5,44,30,31,13,38.94801393,24.76427779,34.29913479,17.37386639
비숑 프리제,24,7.5,50,28,39,15,46.79337426,28.62054917,40.91238109,20.41403184
비숑 프리제,24,3.8,37,21,26,23,37.36192938,23.02249838,32.84691024,16.37830077
비숑 프리제,24,3,35,23,31,18,34.2556825,21.58878517,29.90388274,15.04038004
비숑 프리제,24,7.7,42,25,37,20,46.52634206,28.84422665,40.46272713,20.7039213
비숑 프리제,24,8.5,54,34,38,20,48.01369325,29.79309377,42.43049703,21.68909319
비숑 프리제,24,4.6,43,29,28,25,39.62624822,24.58603153,34.59742163,18.01713645
비숑 프리제,24,3.1,31,21,31,15,34.55679691,21.91243917,29.7943509,15.46065697
비숑 프리제,24,2.3,30,22,25,11,30.90587364,20.03531811,27.29000313,14.01399342
비숑 프리제,24,6.8,45,30,40,30,44.73298082,27.92260664,39.59597887,20.26385579
파피용빠삐용,24,4.8,42,21,40,18,40.13750783,25.01876737,34.96931,18.08708314
파피용빠삐용,24,5,48,25,50,20,40.1529721,25.23123865,35.80891846,18.26826035
사모예드,24,16,60,40,65,35,63.56309348,42.62875113,49.29890978,27.76996023
시바 이누,24,8.6,52,37,41,28,52.05257389,35.16084075,39.91622005,21.94709231
시츄,24,10,51,34,43,13,50.93786818,33.39998777,43.05202593,21.3060748
시츄,24,7,47,28,46,16,45.47419845,28.89636402,37.76039743,18.33936437
시츄,24,5.5,45,36,35,11,41.4247461,26.90669454,35.44369116,16.74049069
시츄,24,5.8,43,28,30,20,42.94851192,27.10158357,35.93805521,17.66972494
시츄,24,5.5,44,28,41,11,41.67180744,27.60629246,34.76711292,16.75546769
시츄,24,4,36,23,35.5,12,37.73943744,24.68415754,31.48194074,15.33954685
요크셔 테리어,24,2.1,29,18.5,25,17,29.14719636,17.53979359,25.21374184,13.75308838
요크셔 테리어,24,4.9,38,25,40,20,37.89972913,23.78071707,33.84566653,18.27557742
웰시 코기,24,12.2,65,42,48,12,53.73156953,35.76230261,48.93359049,15.4495542
재패니즈 스피츠,24,10,64,35,45,20,54.36807251,36.74139974,42.28467313,23.23257388
재패니즈 스피츠,24,10,55,40,45,21,54.44061089,36.96499012,41.93175302,23.29616648
재패니즈 스피츠,24,5.2,44,29,30,25,43.62938112,29.368288,33.53971057,18.80906272
제패니즈 친,24,7,48,29,49,15,45.44555026,29.21484072,38.19453264,19.03156978
진돗개,24,13.5,54,35,49,30,60.346024,40.32337552,46.79144305,25.68674623
진돗개,24,4,38,22,26,15,40.20962595,26.83770389,30.65019669,17.03152622
치와와,24,2,34,16,27,13,30.06910976,20.63475386,21.61976976,13.61564864
치와와,24,1.6,26,16,24,14,27.95849061,18.79007523,20.21390225,12.55858944
치와와,24,4,39,27,27,12,38.26652405,25.95124465,27.79866301,17.14397736
치와와,24,1.5,27,16,26,11,27.58259848,18.31225788,19.4209322,11.66047718
치와와,24,3,38,30,29,20,35.05691405,23.62392528,24.71213455,14.86527531
치와와,24,2.2,28,19,25,20,31.69282388,20.83764071,22.64811753,13.89045435
치와와,24,3.4,37,27,25,15,36.26261067,24.04991509,25.75521763,16.01962986
치와와,24,4.8,41,28,35,15,40.71607303,27.29194737,28.92721093,18.24122801
치와와,24,4.7,50,29,30,27,40.24428043,26.87853496,29.39035276,17.6020659
포메라니안,24,3.2,39,27,27,12,37.13050652,24.75377338,28.44306435,16.54432227
포메라니안,24,3.5,41,23,26,12,37.97212053,25.58856332,29.2746992,16.1933327
포메라니안,24,3.4,39,24,29,17,38.36286496,25.068764,29.0091106,16.0475306
포메라니안,24,1.5,27,16,20,16,28.56434769,18.96041865,22.77513505,12.61253759
포메라니안,24,2.1,34,22,29,16,32.77101716,21.20584594,24.77432853,14.43741921
포메라니안,24,3.78,45,26,29,16,39.4730727,26.16222933,30.07508151,17.43040782
포메라니안,24,4.5,44,28,30,17,42.17590089,28.07439704,31.92144843,17.76433096
포메라니안,24,4,35,24,26,13,39.7818144,26.84322072,30.56755431,17.59958388
포메라니안,24,3,36,27,28,15,36.86891817,24.79554137,28.39908761,15.31737435
푸들 미디엄미니어처,24,4.5,43,28,38,30,39.08926306,24.01770967,34.26591996,20.01231757
푸들 미디엄미니어처,24,2,32,20,26,15,30.61351874,18.14991732,26.13424533,15.04902774
푸들 미디엄미니어처,24,4.2,40,24,34,20,38.83206435,24.05774947,33.45828158,19.84409081
푸들 미디엄미니어처,24,4.8,43,27,37,34,40.26050915,24.59200162,34.78400404,20.28749987
푸들 미디엄미니어처,24,8.8,50,30,34,20,49.8774386,29.99208276,42.44575896,24.72268895
푸들 미디엄미니어처,24,3.6,35,22,40,25,36.53490345,22.17940645,31.87726421,19.06390865
푸들 미디엄미니어처,24,3,37,20,30,18,34.43309811,20.91816131,29.77911963,17.36105678
푸들 미디엄미니어처,24,9,50,28,38,21,49.57246412,30.36916325,43.00775662,25.7797414
푸들 미디엄미니어처,24,4.6,47,23,40,15,40.09668065,24.62068203,34.05194846,20.37075978
푸들 미디엄미니어처,24,6,40,23,50,20,43.21805696,26.94520333,37.61300084,21.66661078
푸들 미디엄미니어처,24,6,43,24,33,20,43.80597985,26.95503392,37.41159133,22.2788112
푸들 미디엄미니어처,24,5.7,40,23,37,23,42.4857466,26.06007976,36.80740126,21.8705804
푸들 미디엄미니어처,24,3.5,40,20,32,20,35.95457158,22.7008742,31.2872847,18.3240815
푸들 미디엄미니어처,24,2,27,22,29,15,30.02607388,18.8776274,26.03116204,15.58536743
푸들 미디엄미니어처,24,8.6,47,28,49,28,49.28053761,30.57802697,42.38260424,24.59924837
푸들 미디엄미니어처,24,4.7,40,27,33,20,40.23459288,24.21726132,34.98389677,20.10927163
푸들 미디엄미니어처,24,3.7,36,22,32,15,36.68412475,22.25360377,31.46408755,19.16791012
푸들 미디엄미니어처,24,3,32,25,24,15,34.25121951,20.98662698,29.37390198,17.30366217
푸들 미디엄미니어처,24,6.1,47,26.5,40,22,43.48095142,26.47429449,38.00845507,22.39945112
푸들 미디엄미니어처,24,6.5,46,26,40,20,44.95485099,27.12282211,38.73541149,22.28353552
푸들 미디엄미니어처,24,1.8,27,17,18,16,28.70039253,17.92265983,25.27037187,14.76134083
푸들 미디엄미니어처,24,6,45,30,34,20,43.21783125,26.50412999,37.48269604,22.09805064
푸들 미디엄미니어처,24,7.5,48,28,40,20,46.35364166,28.9191167,40.62055136,23.93823759
푸들 미디엄미니어처,24,2.8,36,24,29,20,33.77182854,20.75944812,29.17880159,17.5577503
푸들 미디엄미니어처,24,9,52,28,40,26,49.52263517,30.72723041,43.11803431,25.31869147
푸들 미디엄미니어처,24,4.9,40,22,37,20,40.23585255,25.24536765,35.38430085,20.61522219
푸들 미디엄미니어처,24,4.6,38,26,34,18,39.79740532,24.36563437,34.42341434,20.33905388
푸들 미디엄미니어처,24,7.2,49,29,38,23,46.55685523,28.02525945,39.5869433,23.59073038
푸들토이,24,4,37,24,27,20,37.91310624,23.65020998,32.36218699,19.30892226
푸들토이,24,3.7,37,20,32,30,37.25354059,22.29056795,31.81562145,18.49188162
푸들토이,24,2.7,33,19,26,15,33.52899313,20.24300379,28.71469578,17.44286002
푸들토이,24,3.7,42,26,34,20,37.15474049,22.68787023,31.77451862,18.69773161
푸들토이,24,3.3,38,26,27,30,35.89560425,22.09952701,31.04262924,18.21211645
푸들토이,24,3.2,34,23,27,18,35.45091216,21.95056472,30.89927133,17.58390949
푸들토이,24,3.5,36,24,27,17,36.81961544,22.50945263,31.13125973,18.57953509
푸들토이,24,3.7,37,23,30,17,37.02811269,22.40229246,31.72162536,18.47440762
푸들토이,24,3.3,36,18.5,35.5,21,35.39701332,22.05807437,30.60177755,17.92548202
믹스 중형견,24,12,56,38.5,47,18,55.05724012,34.15459916,45.60842839,24.46775301
믹스 소형견,24,4,35,22,35,17,37.71287481,24.07291501,31.7814892,16.81132873
치와와,24,3.8,42,26,30,16.57,37.55296064,25.20332931,27.09357899,16.50818067
시츄,24,4.3,39.34,24.86,32.24,17.86,38.87179534,25.1772824,32.65093047,15.91701918
푸들토이,24,4.3,40,19,33,16.49,38.76211161,23.801867,33.471566,19.7204148
믹스 소형견,24,5.2,43,24,32,20,41.50061413,26.33231421,34.70578921,18.68251871
포메라니안,24,3.9,40,24,27,13,39.65626209,26.53120087,30.61707656,17.15137059
비숑 프리제,24,3.8,37.65,23.55,30,17.34,36.84349958,22.97798083,32.17817092,16.38938505
포메라니안,24,3,38,20,33.44,13.39,36.31175917,24.29363045,28.03491434,15.70486994
웰시 코기,24,12.9,57.5,36,53,16,57.45987716,37.97377023,51.41146903,15.95315282
푸들토이,24,4,39,26,39,20,37.62503091,23.10364282,32.48968266,19.1419194
푸들 미디엄미니어처,24,5,38.68,26,28.18,16.82,41.20756094,25.30349468,35.58324195,20.96454916
비숑 프리제,24,7.5,47.9,30.5,40.9,22,47.76585426,29.78986513,41.71747636,21.2480624
푸들토이,24,5.3,39.55,20,35,17.6,42.18014197,25.90070787,36.42307778,21.45935454
믹스 중형견,24,10,50,27,50,27,52.57491463,33.35900446,43.96691334,23.66788654
말티즈,24,2,35,19.5,27,15,29.80624758,19.30552233,25.03619164,12.20490617
말티즈,24,2,35,19.5,27,15,29.80624758,19.30552233,25.03619164,12.20490617
믹스 소형견,24,5.7,46,27,33,22,42.92482636,27.23598287,35.8968176,19.32366276
믹스 중형견,24,10,53,34,42,13,52.57491463,33.35900446,43.96691334,23.66788654
믹스 중형견,24,5.8,40,29,42,20,43.19911752,27.41002176,36.12619954,19.44714165
포메라니안,24,4,40,27,29,17,39.99463232,26.75758046,30.87831922,17.29771603
말티즈,24,1.2,25.77,15.19,20,10.85,24.87305956,16.11029383,20.89248853,10.18489017
말티즈,24,4.3,38,27,34,17,38.87179534,25.1772824,32.65093047,15.91701918
미니어처 핀셔,24,6.8,48,26,35,17,44.45724208,23.68912973,34.32195387,21.71503555
치와와,24,3.6,36,26,25,8,36.79687462,24.69588902,26.54808068,16.17580728
비숑 프리제,24,6.3,44.88,28.97,38.68,20.99,44.7539132,27.91142457,39.08692402,19.90823686
프렌치 불독,24,13,59,42,34,11,59.09703335,40.79701941,42.11122893,20.20773739
시츄,24,4,32,26,28,20,37.91680524,24.55873481,31.84877263,15.52597484
믹스 중형견,24,10,55,32.75,57,19,52.57491463,33.35900446,43.96691334,23.66788654
치와와,24,2.8,35,22,28,14,33.43592281,22.44021666,24.12323289,14.69834189
포메라니안,24,2,34.3,22,27.78,11.33,31.68119812,21.19564948,24.45983603,13.70214793
비숑 프리제,24,2.3,30.66,19.96,26.23,14.08,30.03249247,18.73019784,26.22961138,13.35959094
믹스 소형견,24,5.3,41,30,33,9,41.79286633,26.51774947,34.95019146,18.81408321
푸들토이,24,6.8,43.09,28.54,30.5,19.14,46.52531592,28.56886107,40.17518958,23.66998315
말티즈,24,3.5,36.36,23.24,29.69,17.4,36.21103616,23.45390727,30.41598705,14.82750545
말티즈,24,4.7,40.3,26.08,32.96,18.67,40.07738089,25.95814081,33.66357961,16.41067604
믹스 소형견,24,5.8,40,27.74,35,20.32,43.19911752,27.41002176,36.12619954,19.44714165
푸들토이,24,4,38,24,31,18,37.62503091,23.10364282,32.48968266,19.1419194
믹스 중형견,24,13.2,54,37,55,25,58.00080774,36.80175646,48.50443421,26.11048532
믹스 소형견,24,6.6,45.98,29.03,39.83,20.75,45.28308918,28.73231054,37.86896606,20.38529257
푸들토이,24,0.6,13.84,9.13,9.85,5.67,14.31778011,8.791830056,12.3635814,7.284241003
푸들 미디엄미니어처,24,5.7,41,24,33,18,43.41714015,26.66028636,37.49124111,22.08868345
도베르만 핀셔,24,35,90,40,78,20,78.5441647,41.85241415,60.6377965,38.36471291
믹스 소형견,24,4.2,39.52,24.66,34.38,18.55,38.33579956,24.32422606,32.05914435,17.25779986
포메라니안,24,5,42.45,27.8,37.78,11.24,43.10289281,28.83709777,33.27808774,18.64204161
믹스 중형견,24,8.2,49.63,31.2,42.21,22.61,48.97527933,31.07502073,40.9566402,22.04742247
믹스 소형견,24,3.9,35,23,32,17.9,37.28393139,23.65681128,31.17949676,16.78427562
푸들토이,24,5.5,46,25,29,19,42.80672091,26.28545854,36.96413649,21.77812966
말티즈,24,3.7,37.14,24.55,30.55,17.35,36.91199395,23.90791801,31.00476676,15.11452997
말티즈,24,5,42,28,29,16,40.93674988,26.51475455,34.3854191,16.76256596
시츄,24,9,48.49,31.32,39.02,22.27,50.02360729,32.4003169,42.01805728,20.48340474
말티즈,24,1.5,25.94,16.47,21.58,12.08,26.93115587,17.44332391,22.62121649,11.02762867
포메라니안,24,5,48,30,32,14,43.10289281,28.83709777,33.27808774,18.64204161
푸들토이,24,5,38.81,25.85,28,17.06,41.20756094,25.30349468,35.58324195,20.96454916
닥스훈트,24,4.6,33,22,37,6,38.49399643,25.43970241,34.4419968,10.68746816
말티즈,24,4.9,40,29,32,19.14,40.65426362,26.33178805,34.14814066,16.64689496
말티즈,24,4.9,40,29,32,19.14,40.65426362,26.33178805,34.14814066,16.64689496
골든 리트리버,24,42,106.98,67.82,91.4,56.47,80.02334603,49.83082055,66.04580387,37.20007556
푸들토이,24,2,30,20,27,20,27.76887664,17.05147323,23.97877073,14.12755248
말티즈,24,2.6,32,22,23,19,32.66677662,21.1582885,27.43893465,13.37622062
푸들토이,24,5,38.48,26.54,27.76,17.49,41.20756094,25.30349468,35.58324195,20.96454916
푸들토이,24,4.3,39.66,28,33,17.41,38.76211161,23.801867,33.471566,19.7204148
포메라니안,24,2.98,34,21,29,12,36.23022775,24.23908355,27.97196707,15.66960752
포메라니안,24,3.1,37,26,26,15,36.71405014,24.5627749,28.34550774,15.87886116
말티즈,24,2.5,32.41,21.24,26.11,14.61,32.22381668,20.87138311,27.066864,13.1948397
비숑 프리제,24,1,19.66,11.95,16.78,9.24,20.55872548,12.82174618,17.95546542,9.14530031
비숑 프리제,24,5.8,43,32,39,14,43.3789932,27.05393585,37.88610402,19.29662032
푸들 미디엄미니어처,24,7.2,49,29,38,20,47.56628252,29.20806641,41.0740772,24.19958002
재패니즈 스피츠,24,8.2,47,35,44,20,50.87137869,34.03444237,39.27583726,22.00191905
비숑 프리제,24,4.5,35,23,38,18,39.36138091,24.5482939,34.37722413,17.5094341
푸들토이,24,4.1,40,25,39,20,38.01074304,23.34048927,32.82274988,19.33815234
푸들토이,24,2.7,34,24,27,20,31.81779168,19.53770871,27.47505928,16.1874579
진돗개,24,16,61,38,53,32,63.61600301,42.56096933,49.11547212,27.51398104
포메라니안,24,3.4,37,29,25,20,37.87109859,25.3368742,29.23882041,16.3792857
비숑 프리제,24,8,49.01,31.02,41.65,22.36,48.92118234,30.51040218,42.72651038,21.76199611
푸들토이,24,3.8,35.82,23.75,25.38,15.95,36.83203518,22.61670395,31.80492097,18.73847893
프렌치 불독,24,15,62,37,38,13,61.99286493,42.79612648,44.17473398,21.19794283
닥스훈트,24,6,45.36,28.65,38.47,20.87,42.85962792,28.32483714,38.34808813,11.89954152
닥스훈트,24,6,45.36,28.65,38.47,20.87,42.85962792,28.32483714,38.34808813,11.89954152
포메라니안,24,3,38,26,28,17,36.31175917,24.29363045,28.03491434,15.70486994
푸들 미디엄미니어처,24,5.5,40.41,27.41,29.24,17.57,42.80672091,26.28545854,36.96413649,21.77812966
잭 러셀 테리어,24,9,52,35,39.88,20.19,49.1023472,26.16428322,37.90807564,23.98392624
말티즈,24,3.2,35.15,26,28,16.73,35.10674173,22.73865519,29.48841887,14.37532475
믹스 소형견,24,6.4,45.78,28.21,38.94,20.66,44.7793127,28.41266225,37.44767205,20.15850524
프렌치 불독,24,14.5,62,45,33,14,61.29432136,42.31389422,43.6769674,20.95908169
비숑 프리제,24,5.5,41,26,30,16,42.5134232,26.51411061,37.13013731,18.91158198
믹스 소형견,24,6.8,46,28,34.5,18,45.77638113,29.04530636,38.28149216,20.60736004
킹 찰스 스파니엘,24,6.5,45.94,28.66,39.29,20.87,45.2823676,28.24100279,39.54846258,20.1433134
포메라니안,24,5.9,43.74,29.45,39.37,12.05,45.56151946,30.48199102,35.17629893,19.70539995
말티즈,24,5.8,41,22,30,20,43.0698097,27.89633852,36.17711375,17.63600012
진돗개,24,14.5,57,36.52,49.57,14.77,61.55687616,41.18335315,47.52569937,26.62340674
푸들 미디엄미니어처,24,9.8,52,30,43,24,53.48967465,32.84532418,46.18900006,27.21313488
보스턴 테리어,24,7.5,50,30,35,25,49.16384312,33.93974534,35.03305894,16.81116588
포메라니안,24,2.1,32.84,16.72,29.24,12.35,32.20615384,21.54686024,24.86513418,13.92919178
시츄,24,3.8,37.41,23.83,30.41,17.64,37.25286982,24.12870349,31.29109041,15.25411004
비숑 프리제,24,7.2,45,30,35,18,47.04654829,29.34125957,41.08925291,20.92808784
포메라니안,24,3.8,41,25,31,19.5,39.31203722,26.30090435,30.35131377,17.00249301
믹스 중형견,24,11.5,53.5,31.5,43,20,55.24719782,35.05457939,46.20166815,24.87088032
푸들토이,24,7,43.17,29.19,31.51,18.91,47.05109239,28.89171401,40.62920411,23.93747451
푸들 미디엄미니어처,24,3.8,38,23,31,19,36.83203518,22.61670395,31.80492097,18.73847893
보스턴 테리어,24,13,65.64,35.69,59.06,20.51,59.09703335,40.79701941,42.11122893,20.20773739
치와와,24,2.5,30.47,19.15,26.53,13.75,31.99875444,21.47567413,23.08634968,14.06656653
푸들 미디엄미니어처,24,0.7,15.72,10.08,11.18,6.39,15.80511748,9.705129277,13.64791574,8.040931202
포메라니안,24,1.5,27.81,13.59,25.6,10.66,28.75180393,19.23579897,22.19816331,12.4351822
믹스 대형견,24,27,72,47,60,35,74.40355513,47.20936867,62.22158768,33.49458412
믹스 소형견,24,6,45.09,28.2,38.42,20.53,43.73797625,27.75192989,36.57683184,19.68972211
말티즈,24,3.9,37.98,24.63,31.19,17.43,37.58772075,24.34558661,31.57235332,15.39122304
말티즈,24,3,34.88,22.89,28.22,15.74,34.33089272,22.23613737,28.83673319,14.05763416
푸들 미디엄미니어처,24,7.6,51,31,39,23,48.56690111,29.82249606,41.93812382,24.70864965
잉글리쉬 코카 스파니엘,24,12,52,29,44,22,54.00541056,33.84105506,47.60570378,23.86064134
요크셔 테리어,24,4.6,35.8,22,30,18.6,37.22844326,23.17996823,32.77180295,17.52946112
말티즈,24,4.5,42,26,33,14.5,39.47913743,25.25527755,32.73184242,16.32208211
믹스 중형견,24,6.5,43.6,29.2,35,21.2,44.66632116,28.64340048,37.2995087,20.08627399
믹스 소형견,24,17,65,36.5,55,29,61.48973325,39.38664124,51.22955578,27.38854823
시베리안 허스키,24,25,79,55,48,32,74.50421045,49.80631014,57.53554204,31.68924527
재패니즈 스피츠,24,8.7,41.5,32.7,35.8,18.6,51.71463815,34.70393985,39.98296628,22.26541565
푸들 미디엄미니어처,24,4.2,38.8,29.5,35.2,18.6,38.62737716,24.09561323,33.59170764,20.0177339
보스턴 테리어,24,8.2,51,32,35,24,50.03209709,34.8411877,35.55882851,16.55545957
푸들 미디엄미니어처,24,5.9,40.5,22.3,37.5,24.3,43.22804009,26.68320562,37.66789707,21.8955178
말티즈,24,4.8,39,23,28,16,40.13733594,25.61166818,33.15205368,16.13464721
포메라니안,24,2.9,42.1,29.2,24.9,15.2,36.10938095,24.25634606,28.354756,15.41242799
푸들 미디엄미니어처,24,5.7,44,33,48,22,42.41124728,26.22931003,36.77766465,21.86620311
푸들 미디엄미니어처,24,5.8,43.5,25,42,19.2,43.15599469,26.61739943,36.63194383,22.19492883
말티즈,24,5.4,40,22,46,18,42.06291095,27.01966969,34.46862377,17.02182529
말티푸,24,7.3,47.6,26.5,34.2,19.2,45.58570038,29.41544627,39.04790864,18.50761992
말티즈,24,2.4,32.5,22,24.5,13,31.47412094,20.77240017,26.37142249,13.29682789
닥스훈트,24,7.5,44,28,50,11,46.13612193,30.50509776,41.1265439,12.78821982
골든 리트리버,24,30,73,43,59,41.5,71.86908334,45.10933098,59.16992463,33.18744054
믹스 중형견,24,15,60,37,45,25,58.49482126,37.05178321,48.69671259,26.56858745
믹스 소형견,24,5.6,42,27,45,16,42.54440079,27.2757684,35.27259497,19.52486097
치와와,24,2.5,35,25.2,26,15,32.49819478,21.98443554,23.26991095,14.53873867
말티즈,24,2.4,28.2,19.1,24.5,15.3,31.38149151,20.85311071,26.21167842,12.58664388
믹스 중형견,24,7,43,27,48,25,46.05215218,28.50693912,38.53235819,20.34617516
요크셔 테리어,24,7.3,44,30,40,15,42.95927468,27.35888518,37.90565893,20.86252985
푸들토이,24,4.4,37,22,41.5,24.5,38.99413155,24.25230672,33.39492268,19.4782664
포메라니안,24,6.78,43,31.5,44.5,17,47.983132,32.0186204,36.53034967,20.84625835
믹스 중형견,24,21,69,42,58,34,65.82552142,42.01453591,54.56047105,29.6639389
말티즈,24,2.5,34.5,22.5,24,17.6,32.13451853,20.39497344,27.41248347,13.61881117
요크셔 테리어,24,2.1,29.8,19.5,30.4,15.1,29.05130186,17.46707786,25.11048548,13.49886151
닥스훈트,24,11,52,32,45,14,52.02411211,34.7662102,46.6226368,14.72910165
요크셔 테리어,24,4.8,39.1,23.2,35.9,20.4,37.76709483,23.50005984,32.88817355,17.45791227
시츄,24,5.7,42.9,27,34.7,16.9,41.99790343,27.65914822,35.53430818,17.79720387
말티즈,24,5.5,42.7,30.9,32,16.8,42.15673192,26.81209461,35.62623352,16.88483982
푸들토이,24,5.5,45,24,37,21,41.82957806,26.03621173,36.82656935,21.59795844
말티즈,24,3.8,38.5,22,36.5,17.2,37.37882606,23.83985141,31.35043763,14.78384051
치와와,24,2,28,20,25,12,30.21083372,20.32486478,21.61648845,13.4923205
말티즈,24,6.5,36,22.5,29.5,12.5,43.81047144,28.60679808,37.33242984,18.15052777
말티즈,24,1.9,33.4,20.2,29.8,17.5,29.774412,19.43596679,24.17048802,11.90218159
말티즈,24,4.9,40.9,28.4,33.4,13.9,39.96197789,25.92567764,33.46731189,16.84147346
시베리안 허스키,24,24.4,74,51,53,29,73.31792631,48.96418119,56.97345296,31.2548636
치와와,24,4,39.5,35,35,16,38.18860048,25.26493373,27.42053276,17.08052565
아메리칸 코카 스파니엘,24,11.5,50.2,31.9,44.5,19,53.44466409,33.20584261,47.22578552,24.28239653
아메리칸 코카 스파니엘,24,6.5,46,29,38,21,44.35930322,28.05861899,38.62593605,20.11756539
말티즈,24,8,55,37,44,19,47.14271143,30.41984503,39.88873219,19.44487246
요크셔 테리어,24,3.2,34.2,21.3,31.6,17.1,32.93546017,20.54543978,28.79312702,15.99516216
프렌치 불독,24,8,50,32,36,14,49.86255319,33.79323103,35.46213021,17.29609948
요크셔 테리어,24,7.1,41.5,25.3,42.2,16.8,43.52219808,27.25436331,38.05586693,20.13010331
말티즈,24,2.4,30.6,21.8,27.6,11.5,31.48587574,20.96018907,26.63642364,13.2163215
아메리칸 코카 스파니엘,24,8.7,51.2,31.2,36.5,20.3,48.83585442,30.89029131,42.66033535,22.16760923
요크셔 테리어,24,5.2,35.5,22,30,12.5,39.0979291,24.33484536,34.56972128,17.93191152
포메라니안,24,4.1,51.2,37.2,37.3,15.1,40.58420488,27.06407567,31.39190071,17.84714033
푸들 미디엄미니어처,24,4.1,38,25.5,31,21,38.67599378,23.52144029,32.96894215,19.04606104
자이언트 슈나우저,24,6.7,41,25,36,19.8,42.03468827,26.07389214,37.15083975,19.44949459
푸들 미디엄미니어처,24,3.9,41,23,30,14,37.18418151,23.62915571,32.83961057,19.55162814
